City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
395,labytnangi,66.6572,66.4183,-10.05,94,100,6.59,RU,1708310914
396,bandarbeyla,9.4942,50.8122,24.8,66,45,6.56,SO,1708310915
397,sisimiut,66.9395,-53.6735,-13.91,93,100,2.95,GL,1708310915
398,hasaki,35.7333,140.8333,21.27,66,75,10.62,JP,1708310916
399,kapuskasing,49.4169,-82.4331,-16.95,71,40,5.14,CA,1708310916
400,le vauclin,14.5452,-60.8388,27.03,74,40,6.17,MQ,1708310917
401,alexander city,32.944,-85.9539,5.18,60,0,0.0,US,1708310762
402,kuqa,41.7278,82.9364,-5.32,24,100,2.67,CN,1708310918
403,qarauyl,48.9451,79.255,-27.83,100,100,4.32,KZ,1708310919
404,callao,-12.0667,-77.15,27.62,73,40,4.12,PE,1708310919
405,andkhoy,36.9529,65.1238,-0.21,64,77,3.46,AF,1708310920
406,shevchenko,48.5,35.0,-0.47,59,100,4.4,UA,1708310920
407,al ghayzah,16.2079,52.176,22.09,79,9,0.58,YE,1708310921
408,turpan,42.9333,89.1667,-4.38,22,94,1.75,CN,1708310922
409,mogok,22.9167,96.5,22.61,26,1,0.53,MM,1708310922
410,tripoli,32.8752,13.1875,14.08,76,17,3.43,LY,1708310672
411,sinabang,2.4803,96.3801,27.37,79,100,1.46,ID,1708310923
412,south hedland,-20.4089,118.5983,41.96,26,44,5.66,AU,1708310924
413,calvi,42.5,8.8333,9.35,71,0,2.57,FR,1708310924
414,santa cruz,-17.8,-63.1667,26.7,89,40,3.6,BO,1708310630
415,mana,5.6592,-53.7767,26.81,70,92,4.09,GF,1708310925
416,mahibadhoo,3.7833,72.9667,28.3,77,100,5.92,MV,1708310926
417,atmakur,15.8833,78.5833,24.85,40,92,2.27,IN,1708310927
418,sandnessjoen,66.0217,12.6316,-9.71,81,89,6.03,NO,1708310927
419,port-vila,-17.7338,168.3219,29.78,79,75,4.12,VU,1708310928
420,mauranwan,26.4333,80.8833,17.02,40,43,3.75,IN,1708310928
421,puerto deseado,-47.7503,-65.8938,20.37,46,60,8.27,AR,1708310929
422,ta`u,-14.2336,-169.5144,28.43,83,100,9.32,AS,1708310930
423,hastings,50.8552,0.5729,9.02,49,38,3.61,GB,1708310931
424,palikir - national government center,6.9248,158.1611,30.47,70,75,5.14,FM,1708310931
425,kruisfontein,-34.0033,24.7314,16.15,94,0,2.21,ZA,1708310932
426,verkhnevilyuysk,63.4453,120.3167,-25.73,92,100,3.61,RU,1708310933
427,kincardine,56.0667,-3.7167,9.55,94,100,4.53,GB,1708310933
428,campbell river,50.0163,-125.2446,6.74,81,100,0.0,CA,1708310496
429,castellet,41.2628,1.6337,13.66,71,100,1.79,ES,1708310935
430,minas de marcona,-15.2119,-75.1103,19.41,80,98,3.69,PE,1708310935
431,limon,10.0,-83.0333,26.14,87,100,1.63,CR,1708310936
432,chom bueng,13.62,99.5917,31.12,52,68,0.64,TH,1708310936
433,camacupa,-12.0167,17.4833,15.82,97,100,1.75,AO,1708310937
434,ormara,25.2088,64.6357,23.33,79,86,7.13,PK,1708310937
435,tazovsky,67.4667,78.7,-17.11,84,100,11.28,RU,1708310938
436,mpika,-11.8343,31.4529,16.58,96,92,1.12,ZM,1708310938
437,usogorsk,63.4106,48.6872,-10.74,96,100,2.93,RU,1708310939
438,ugoofaaru,5.6667,73.0,28.21,73,63,6.69,MV,1708310940
439,deder,9.3167,41.45,13.12,88,40,1.67,ET,1708310941
440,broome,42.2506,-75.833,-0.77,70,100,5.66,US,1708310941
441,malanje,-9.5402,16.341,18.43,98,100,0.13,AO,1708310942
